geneId,geneSymbol,DSI,DPI,PLI,protein_class_name,protein_class,NofDiseases,NofPmids
142,PARP1,0.39,0.92,0.00,NULL,NULL,565,1323
148,ADRA1A,0.46,0.85,0.00,"G-protein coupled receptor",DTO_02300001,294,466
150,ADRA2A,0.58,0.62,0.00,"G-protein coupled receptor",DTO_02300001,102,105
151,ADRA2B,0.47,0.85,0.00,"G-protein coupled receptor",DTO_02300001,296,454
153,ADRB1,0.56,0.77,0.00,"G-protein coupled receptor",DTO_02300001,130,205
154,ADRB2,0.44,0.92,0.53,"G-protein coupled receptor",DTO_02300001,387,662
155,ADRB3,0.53,0.73,0.00,"G-protein coupled receptor",DTO_02300001,142,212
156,GRK2,0.53,0.65,1.00,Kinase,DTO_03300101,159,152
174,AFP,0.43,0.89,0.00,Transporter,DTO_05007405,392,1785
175,AGA,0.57,0.81,0.00,Enzyme,DTO_05007624,143,118
176,ACAN,0.53,0.85,1.00,"Extracellular structure",DTO_05007621,187,297
177,AGER,0.42,0.89,0.00,Receptor,DTO_05007575,450,757
178,AGL,0.64,0.62,0.00,Enzyme,DTO_05007624,59,100
181,AGRP,0.49,0.77,0.00,Signaling,DTO_05007599,233,372
182,JAG1,0.43,0.81,1.00,NULL,NULL,420,592
183,AGT,0.37,0.92,0.00,"Enzyme modulator",DTO_05007584,765,2593
185,AGTR1,0.42,0.85,0.00,"G-protein coupled receptor",DTO_02300001,440,950
186,AGTR2,0.50,0.81,0.01,"G-protein coupled receptor",DTO_02300001,229,197
187,APLNR,0.59,0.69,0.79,"G-protein coupled receptor",DTO_02300001,94,101
189,AGXT,0.59,0.73,0.00,Enzyme,DTO_05007624,94,164
190,NR0B1,0.49,0.81,0.97,"Nuclear receptor",DTO_00102000,222,448
196,AHR,0.41,0.92,1.00,"Transcription factor",DTO_05007542,532,719
197,AHSG,0.51,0.85,0.00,"Enzyme modulator",DTO_05007584,204,191
199,AIF1,0.52,0.81,0.00,"Calcium-binding protein",DTO_05007616,166,194
207,AKT1,0.31,0.96,0.98,Kinase,DTO_03300101,1250,4604
208,AKT2,0.47,0.77,0.64,Kinase,DTO_03300101,264,348
212,ALAS2,0.61,0.58,1.00,Enzyme,DTO_05007624,79,104
213,ALB,0.32,0.96,0.64,Transporter,DTO_05007405,1198,3347
214,ALCAM,0.50,0.81,0.73,"Cell adhesion",DTO_05007620,181,150
215,ABCD1,0.56,0.73,1.00,Transporter,DTO_05007405,154,321
216,ALDH1A1,0.46,0.85,0.95,Enzyme,DTO_05007624,270,424
217,ALDH2,0.46,0.89,0.00,Enzyme,DTO_05007624,337,677
231,AKR1B1,0.49,0.89,0.00,Enzyme,DTO_05007624,220,382
238,ALK,0.40,0.85,0.00,Kinase,DTO_03300101,519,2563
240,ALOX5,0.45,0.89,0.00,Enzyme,DTO_05007624,342,400
241,ALOX5AP,0.61,0.73,0.07,Enzyme,DTO_05007624,76,122
246,ALOX15,0.50,0.85,0.00,Enzyme,DTO_05007624,205,207
248,ALPI,0.56,0.77,0.00,Enzyme,DTO_05007624,98,106
249,ALPL,0.55,0.77,0.00,Enzyme,DTO_05007624,190,232
250,ALPP,0.49,0.81,0.00,Enzyme,DTO_05007624,209,244
259,AMBP,0.54,0.73,0.00,NULL,NULL,150,140
262,AMD1,0.59,0.58,0.98,Enzyme,DTO_05007624,84,137
263,AMD1P2,0.61,0.54,NULL,NULL,NULL,71,121
268,AMH,0.48,0.85,0.00,NULL,NULL,242,444
274,BIN1,0.55,0.69,0.78,NULL,NULL,163,128
283,ANG,0.51,0.77,0.29,NULL,NULL,185,168
284,ANGPT1,0.45,0.81,0.95,Signaling,DTO_05007599,340,469
285,ANGPT2,0.41,0.85,0.83,Signaling,DTO_05007599,457,714
286,ANK1,0.54,0.89,1.00,NULL,NULL,166,129
288,ANK3,0.58,0.65,1.00,NULL,NULL,106,106
290,ANPEP,0.46,0.77,0.00,Enzyme,DTO_05007624,280,363
301,ANXA1,0.44,0.89,0.00,NULL,NULL,336,355
302,ANXA2,0.45,0.81,0.00,NULL,NULL,294,338
308,ANXA5,0.46,0.77,0.00,NULL,NULL,283,367
309,ANXA6,0.51,0.85,0.00,NULL,NULL,156,127
317,APAF1,0.53,0.77,0.00,NULL,NULL,145,143
324,APC,0.37,0.96,1.00,NULL,NULL,703,2179
325,APCS,0.53,0.81,0.03,NULL,NULL,141,175
326,AIRE,0.52,0.81,0.00,NULL,NULL,175,335
328,APEX1,0.46,0.85,0.00,NULL,NULL,305,422
329,BIRC2,0.54,0.73,0.43,"Enzyme modulator",DTO_05007584,125,117
330,BIRC3,0.49,0.77,0.07,"Enzyme modulator",DTO_05007584,209,248
331,XIAP,0.45,0.81,0.92,"Enzyme modulator",DTO_05007584,321,495
332,BIRC5,0.50,0.73,0.06,"Enzyme modulator",DTO_05007584,199,290
335,APOA1,0.43,0.89,0.00,NULL,NULL,416,776
338,APOB,0.45,0.81,0.00,NULL,NULL,339,1169
344,APOC2,0.61,0.58,0.40,NULL,NULL,68,101
345,APOC3,0.53,0.73,0.01,NULL,NULL,153,305
348,APOE,0.34,0.96,0.00,NULL,NULL,1049,6805
350,APOH,0.56,0.77,0.00,NULL,NULL,121,192
351,APP,0.42,0.85,0.05,"Enzyme modulator",DTO_05007584,485,3674
353,APRT,0.42,0.85,0.00,NULL,NULL,384,589
354,KLK3,0.44,0.89,0.00,Enzyme,DTO_05007624,358,3069
355,FAS,0.37,0.92,0.81,NULL,NULL,754,1026
356,FASLG,0.43,0.89,0.18,Signaling,DTO_05007599,398,391
358,AQP1,0.47,0.89,0.00,"Ion channel",DTO_01300327,268,195
359,AQP2,0.58,0.77,0.00,"Ion channel",DTO_01300327,114,190
360,AQP3,0.55,0.77,0.13,"Ion channel",DTO_01300327,124,111
361,AQP4,0.46,0.89,0.00,"Ion channel",DTO_01300327,311,639
362,AQP5,0.55,0.77,0.05,"Ion channel",DTO_01300327,119,105
367,AR,0.35,0.85,0.99,"Nuclear receptor",DTO_00102000,854,4657
368,ABCC6,0.54,0.65,0.00,Transporter,DTO_05007405,181,221
374,AREG,0.49,0.77,0.35,Signaling,DTO_05007599,221,280
383,ARG1,0.48,0.85,0.00,Enzyme,DTO_05007624,273,309
387,RHOA,0.50,0.81,0.60,"Enzyme modulator",DTO_05007584,193,201
406,ARNTL,0.51,0.89,0.99,"Transcription factor",DTO_05007542,200,213
407,ARR3,0.46,0.85,0.10,"Enzyme modulator",DTO_05007584,279,466
410,ARSA,0.45,0.92,0.00,Enzyme,DTO_05007624,376,562
411,ARSB,0.60,0.69,0.00,NULL,NULL,96,144
412,STS,0.43,0.85,0.81,Enzyme,DTO_05007624,382,488
414,ARSD,0.54,0.81,0.00,Enzyme,DTO_05007624,163,284
427,ASAH1,0.53,0.81,0.00,Enzyme,DTO_05007624,176,137
429,ASCL1,0.55,0.69,0.68,"Transcription factor",DTO_05007542,136,134
435,ASL,0.59,0.73,0.00,Enzyme,DTO_05007624,99,102
443,ASPA,0.56,0.73,0.00,NULL,NULL,123,151
445,ASS1,0.52,0.73,0.00,Enzyme,DTO_05007624,163,193
462,SERPINC1,0.51,0.77,1.00,"Enzyme modulator",DTO_05007584,184,266
466,ATF1,0.59,0.58,0.63,NULL,NULL,88,108
467,ATF3,0.49,0.89,0.09,"Transcription factor",DTO_05007542,228,210
468,ATF4,0.51,0.77,0.02,NULL,NULL,178,196
470,ATHS,0.55,0.77,NULL,NULL,NULL,112,125
472,ATM,0.37,0.89,0.00,Kinase,DTO_03300101,684,1907
477,ATP1A2,0.60,0.62,0.00,Transporter,DTO_05007405,102,124
478,ATP1A3,0.54,0.62,1.00,Transporter,DTO_05007405,174,132
479,ATP12A,0.58,0.77,0.00,Transporter,DTO_05007405,102,120
488,ATP2A2,0.53,0.81,1.00,Transporter,DTO_05007405,159,178
495,ATP4A,0.58,0.77,0.00,Transporter,DTO_05007405,101,118
501,ALDH7A1,0.55,0.77,0.00,Enzyme,DTO_05007624,141,143
538,ATP7A,0.49,0.77,1.00,Transporter,DTO_05007405,348,231
540,ATP7B,0.53,0.65,0.00,Transporter,DTO_05007405,182,542
545,ATR,0.46,0.92,0.00,Kinase,DTO_03300101,321,317
546,ATRX,0.45,0.81,1.00,NULL,NULL,412,272
551,AVP,0.44,0.85,0.07,Signaling,DTO_05007599,454,798
554,AVPR2,0.57,0.77,0.56,"G-protein coupled receptor",DTO_02300001,134,212
558,AXL,0.49,0.62,0.01,Kinase,DTO_03300101,203,273
567,B2M,0.45,0.85,0.56,"Immune response",DTO_05007608,352,382
570,BAAT,0.58,0.65,0.00,NULL,NULL,98,108
572,BAD,0.55,0.77,0.00,NULL,NULL,125,130
573,BAG1,0.54,0.77,0.00,NULL,NULL,128,119
578,BAK1,0.56,0.77,0.00,Signaling,DTO_05007599,115,116
580,BARD1,0.60,0.54,0.00,NULL,NULL,75,157
581,BAX,0.42,0.89,0.32,Signaling,DTO_05007599,420,1053
583,BBS2,0.57,0.65,0.00,NULL,NULL,128,128
590,BCHE,0.45,0.92,0.00,NULL,NULL,392,787
595,CCND1,0.34,0.92,0.89,"Enzyme modulator",DTO_05007584,859,2863
596,BCL2,0.29,0.89,0.56,Signaling,DTO_05007599,1456,6601
597,BCL2A1,0.53,0.73,0.21,Signaling,DTO_05007599,150,135
598,BCL2L1,0.49,0.89,0.94,Signaling,DTO_05007599,212,224
602,BCL3,0.54,0.73,0.99,NULL,NULL,136,127
604,BCL6,0.44,0.81,0.96,NULL,NULL,309,734
611,OPN1SW,0.52,0.77,0.02,"G-protein coupled receptor",DTO_02300001,164,256
613,BCR,0.43,0.89,0.99,"Enzyme modulator",DTO_05007584,392,1601
617,BCS1L,0.53,0.81,0.00,NULL,NULL,172,100
627,BDNF,0.35,0.92,0.66,Signaling,DTO_05007599,992,3258
629,CFB,0.53,0.77,0.00,NULL,NULL,139,167
632,BGLAP,0.46,0.85,0.00,NULL,NULL,274,401
633,BGN,0.48,0.81,0.45,NULL,NULL,253,171
634,CEACAM1,0.53,0.73,0.00,NULL,NULL,167,138
637,BID,0.56,0.81,0.00,NULL,NULL,117,126
639,PRDM1,0.54,0.73,0.96,NULL,NULL,126,152
641,BLM,0.54,0.81,0.00,NULL,NULL,158,276
643,CXCR5,0.52,0.77,0.73,"G-protein coupled receptor",DTO_02300001,146,142
648,BMI1,0.45,0.81,0.94,NULL,NULL,309,563
649,BMP1,0.55,0.77,0.00,NULL,NULL,121,125
650,BMP2,0.43,0.85,0.99,Signaling,DTO_05007599,428,434
652,BMP4,0.42,0.81,0.96,Signaling,DTO_05007599,423,380
654,BMP6,0.53,0.81,0.76,Signaling,DTO_05007599,137,123
655,BMP7,0.50,0.77,0.13,Signaling,DTO_05007599,197,219
657,BMPR1A,0.52,0.73,0.90,Kinase,DTO_03300101,203,112
659,BMPR2,0.54,0.65,1.00,Kinase,DTO_03300101,146,333
664,BNIP3,0.52,0.73,0.00,NULL,NULL,158,153
667,DST,0.55,0.85,1.00,"Cellular structure",DTO_05007530,147,174
668,FOXL2,0.54,0.69,0.88,"Transcription factor",DTO_05007542,137,198
672,BRCA1,0.37,0.92,0.00,Enzyme,DTO_05007624,747,6261
673,BRAF,0.32,0.85,1.00,Kinase,DTO_03300101,1228,5616
675,BRCA2,0.38,0.85,0.00,"Nucleic acid binding",DTO_05007557,656,3810
680,BRS3,0.47,0.85,0.95,"G-protein coupled receptor",DTO_02300001,261,434
682,BSG,0.46,0.77,0.00,NULL,NULL,287,449
686,BTD,0.63,0.65,0.00,Enzyme,DTO_05007624,90,109
688,KLF5,0.53,0.77,0.82,"Nucleic acid binding",DTO_05007557,143,163
690,BTF3P11,0.52,0.73,NULL,NULL,NULL,154,209
695,BTK,0.46,0.81,1.00,Kinase,DTO_03300101,290,687
701,BUB1B,0.50,0.81,0.00,Kinase,DTO_03300101,231,104
706,TSPO,0.44,0.89,0.00,NULL,NULL,341,487
710,SERPING1,0.51,0.77,0.96,"Enzyme modulator",DTO_05007584,207,464
718,C3,0.45,0.89,0.90,"Enzyme modulator",DTO_05007584,343,385
721,C4B,0.60,0.81,0.83,"Enzyme modulator",DTO_05007584,66,100
722,C4BPA,0.56,0.85,0.46,NULL,NULL,107,125
727,C5,0.55,0.73,0.00,"Enzyme modulator",DTO_05007584,129,128
728,C5AR1,0.51,0.81,0.40,"G-protein coupled receptor",DTO_02300001,179,169
738,VPS51,0.45,0.85,0.00,NULL,NULL,292,443
760,CA2,0.51,0.81,0.00,NULL,NULL,210,162
768,CA9,0.48,0.73,0.00,NULL,NULL,226,443
773,CACNA1A,0.49,0.77,1.00,"Ion channel",DTO_01300327,320,442
775,CACNA1C,0.51,0.85,1.00,"Ion channel",DTO_01300327,225,262
780,DDR1,0.50,0.81,0.00,Kinase,DTO_03300101,195,178
790,CAD,0.48,0.85,1.00,Enzyme,DTO_05007624,249,323
794,CALB2,0.55,0.69,0.00,"Calcium-binding protein",DTO_05007616,124,125
796,CALCA,0.42,0.92,0.02,Signaling,DTO_05007599,467,1041
799,CALCR,0.46,0.85,0.00,"G-protein coupled receptor",DTO_02300001,282,336
801,CALM1,0.47,0.81,0.94,"Calcium-binding protein",DTO_05007616,253,260
805,CALM2,0.47,0.81,0.92,"Calcium-binding protein",DTO_05007616,252,244
808,CALM3,0.49,0.85,0.93,"Calcium-binding protein",DTO_05007616,215,231
811,CALR,0.41,0.92,0.89,"Calcium-binding protein",DTO_05007616,487,831
820,CAMP,0.47,0.85,0.00,NULL,NULL,262,278
823,CAPN1,0.54,0.81,0.00,Enzyme,DTO_05007624,165,111
825,CAPN3,0.56,0.62,0.00,Enzyme,DTO_05007624,137,236
831,CAST,0.54,0.85,0.00,NULL,NULL,141,123
834,CASP1,0.41,0.89,0.00,Enzyme,DTO_05007624,444,562
836,CASP3,0.35,0.92,0.10,Enzyme,DTO_05007624,819,2477
841,CASP8,0.40,0.92,0.00,Enzyme,DTO_05007624,480,693
842,CASP9,0.46,0.81,0.00,Enzyme,DTO_05007624,293,469
846,CASR,0.41,0.85,0.05,"G-protein coupled receptor",DTO_02300001,517,1016
847,CAT,0.36,0.96,0.00,Enzyme,DTO_05007624,794,1184
857,CAV1,0.39,0.89,0.01,"Enzyme modulator",DTO_05007584,633,900
859,CAV3,0.56,0.69,0.01,"Enzyme modulator",DTO_05007584,163,132
860,RUNX2,0.44,0.85,0.95,"Transcription factor",DTO_05007542,405,617
861,RUNX1,0.43,0.81,0.65,"Transcription factor",DTO_05007542,412,1432
862,RUNX1T1,0.53,0.81,0.98,"Transcription factor",DTO_05007542,137,476
864,RUNX3,0.46,0.73,0.84,"Transcription factor",DTO_05007542,281,445
865,CBFB,0.60,0.54,0.96,NULL,NULL,76,122
867,CBL,0.53,0.77,0.00,Enzyme,DTO_05007624,172,142
871,SERPINH1,0.55,0.77,0.03,"Enzyme modulator",DTO_05007584,148,118
875,CBS,0.47,0.89,0.00,Enzyme,DTO_05007624,295,449
885,CCK,0.45,0.85,0.00,NULL,NULL,326,846
887,CCKBR,0.57,0.62,0.00,"G-protein coupled receptor",DTO_02300001,105,126
889,KRIT1,0.50,0.81,0.00,NULL,NULL,201,298
891,CCNB1,0.51,0.73,0.16,"Enzyme modulator",DTO_05007584,155,193
894,CCND2,0.48,0.81,0.99,"Enzyme modulator",DTO_05007584,241,247
896,CCND3,0.55,0.65,0.98,"Enzyme modulator",DTO_05007584,126,137
898,CCNE1,0.54,0.73,0.97,"Enzyme modulator",DTO_05007584,133,195
909,CD1A,0.54,0.77,0.00,NULL,NULL,121,131
912,CD1D,0.53,0.77,0.00,NULL,NULL,140,153
919,CD247,0.54,0.73,0.02,NULL,NULL,140,117
920,CD4,0.60,0.65,0.00,NULL,NULL,73,111
923,CD6,0.49,0.81,0.00,Enzyme,DTO_05007624,216,364
928,CD9,0.53,0.77,0.00,NULL,NULL,156,272
929,CD14,0.39,0.89,0.00,NULL,NULL,551,869
930,CD19,0.43,0.89,0.90,NULL,NULL,365,1057
931,MS4A1,0.41,0.85,0.00,Receptor,DTO_05007575,451,956
933,CD22,0.56,0.62,0.80,NULL,NULL,106,162
939,CD27,0.52,0.69,0.01,NULL,NULL,154,172
940,CD28,0.44,0.89,0.36,NULL,NULL,364,500
941,CD80,0.48,0.77,0.01,NULL,NULL,233,298
942,CD86,0.48,0.77,0.95,NULL,NULL,219,265
943,TNFRSF8,0.44,0.81,0.86,NULL,NULL,301,671
945,CD33,0.52,0.77,0.00,Receptor,DTO_05007575,142,292
947,CD34,0.37,0.81,0.00,NULL,NULL,674,1763
948,CD36,0.45,0.85,0.00,Receptor,DTO_05007575,351,573
949,SCARB1,0.56,0.73,0.07,Receptor,DTO_05007575,116,120
952,CD38,0.41,0.89,0.00,Enzyme,DTO_05007624,473,938
953,ENTPD1,0.50,0.77,0.01,Enzyme,DTO_05007624,206,165
958,CD40,0.40,0.85,0.85,NULL,NULL,528,891
959,CD40LG,0.41,0.85,0.72,Signaling,DTO_05007599,453,772
960,CD44,0.36,0.96,0.00,NULL,NULL,711,2159
961,CD47,0.47,0.77,0.92,NULL,NULL,253,347
966,CD59,0.47,0.81,0.61,NULL,NULL,262,320
967,CD63,0.54,0.73,0.02,NULL,NULL,128,119
968,CD68,0.41,0.81,0.00,Transporter,DTO_05007405,452,527
969,CD69,0.49,0.92,0.03,NULL,NULL,206,201
970,CD70,0.54,0.69,0.01,NULL,NULL,127,100
972,CD74,0.51,0.81,0.25,"Enzyme modulator",DTO_05007584,170,145
975,CD81,0.56,0.85,0.92,NULL,NULL,122,179
978,CDA,0.56,0.73,0.01,Enzyme,DTO_05007624,103,124
983,CDK1,0.48,0.81,0.99,Kinase,DTO_03300101,214,338
993,CDC25A,0.56,0.62,0.84,Enzyme,DTO_05007624,105,106
995,CDC25C,0.58,0.77,0.00,Enzyme,DTO_05007624,95,104
998,CDC42,0.46,0.85,0.79,"Enzyme modulator",DTO_05007584,327,356
999,CDH1,0.40,0.81,0.15,NULL,NULL,508,1228
1000,CDH2,0.54,0.73,0.99,NULL,NULL,135,116
1009,CDH11,0.51,0.81,1.00,NULL,NULL,203,106
1012,CDH13,0.50,0.85,0.00,NULL,NULL,205,209
1017,CDK2,0.46,0.69,0.61,Kinase,DTO_03300101,270,549
1019,CDK4,0.41,0.81,0.06,Kinase,DTO_03300101,433,1158
1020,CDK5,0.50,0.85,0.14,Kinase,DTO_03300101,204,295
1021,CDK6,0.47,0.73,0.98,Kinase,DTO_03300101,266,340
1025,CDK9,0.50,0.77,0.00,Kinase,DTO_03300101,204,224
1026,CDKN1A,0.40,0.77,0.00,NULL,NULL,490,1085
1027,CDKN1B,0.41,0.77,0.62,NULL,NULL,454,842
1028,CDKN1C,0.46,0.85,0.82,NULL,NULL,298,307
1029,CDKN2A,0.30,0.89,0.39,NULL,NULL,1314,5442
1030,CDKN2B,0.42,0.77,0.01,NULL,NULL,440,690
1031,CDKN2C,0.53,0.65,0.40,NULL,NULL,149,122
1032,CDKN2D,0.55,0.77,0.49,NULL,NULL,110,115
1033,CDKN3,0.51,0.77,0.00,NULL,NULL,150,192
1041,CDSN,0.59,0.73,0.46,NULL,NULL,101,156
1045,CDX2,0.46,0.77,0.53,"Transcription factor",DTO_05007542,278,451
1048,CEACAM5,0.42,0.85,0.00,NULL,NULL,428,1625
1050,CEBPA,0.50,0.69,0.55,"Transcription factor",DTO_05007542,201,368
1051,CEBPB,0.51,0.73,0.36,"Transcription factor",DTO_05007542,182,193
1055,CECR,0.60,0.73,NULL,NULL,NULL,81,177
1056,CEL,0.51,0.81,0.00,NULL,NULL,172,175
1071,CETP,0.51,0.73,0.00,NULL,NULL,188,552
1072,CFL1,0.53,0.77,0.56,NULL,NULL,153,143
1075,CTSC,0.54,0.73,0.00,Enzyme,DTO_05007624,139,141
1080,CFTR,0.42,0.89,0.00,"Ion channel",DTO_01300327,476,2807
1081,CGA,0.51,0.81,0.35,NULL,NULL,180,155
1084,CEACAM3,0.49,0.73,0.00,NULL,NULL,204,564
1087,CEACAM7,0.49,0.77,0.00,NULL,NULL,202,556
1103,CHAT,0.52,0.81,0.00,Enzyme,DTO_05007624,230,165
1111,CHEK1,0.49,0.81,0.00,Kinase,DTO_03300101,195,342
1113,CHGA,0.49,0.81,0.03,NULL,NULL,218,354
1116,CHI3L1,0.42,0.89,0.00,NULL,NULL,420,441
1118,CHIT1,0.53,0.69,0.00,NULL,NULL,142,124
1121,CHM,0.59,0.65,1.00,Enzyme,DTO_05007624,82,159
1131,CHRM3,0.46,0.89,0.99,"G-protein coupled receptor",DTO_02300001,284,291
1136,CHRNA3,0.59,0.69,0.00,"Ion channel",DTO_01300327,110,177
1137,CHRNA4,0.49,0.81,0.00,"Ion channel",DTO_01300327,248,351
1138,CHRNA5,0.59,0.58,0.00,"Ion channel",DTO_01300327,110,190
1139,CHRNA7,0.53,0.65,0.00,"Ion channel",DTO_01300327,172,138
1147,CHUK,0.56,0.73,0.99,Kinase,DTO_03300101,125,100
1154,CISH,0.50,0.81,0.00,"Enzyme modulator",DTO_05007584,195,241
1161,ERCC8,0.55,0.89,0.00,NULL,NULL,175,106
1180,CLCN1,0.64,0.42,0.00,"Ion channel",DTO_01300327,67,174
1184,CLCN5,0.59,0.58,0.99,"Ion channel",DTO_01300327,101,125
1191,CLU,0.43,0.89,0.00,NULL,NULL,412,568
1200,TPP1,0.55,0.81,0.00,Enzyme,DTO_05007624,151,175
1201,CLN3,0.57,0.69,0.00,Transporter,DTO_05007405,120,226
1211,CLTA,0.63,0.65,0.96,Transporter,DTO_05007405,55,118
1215,CMA1,0.51,0.69,0.00,Enzyme,DTO_05007624,157,163
1230,CCR1,0.53,0.77,0.39,"G-protein coupled receptor",DTO_02300001,192,103
1232,CCR3,0.53,0.81,0.00,"G-protein coupled receptor",DTO_02300001,149,143
1233,CCR4,0.51,0.73,0.07,"G-protein coupled receptor",DTO_02300001,168,183
1234,CCR5,0.40,0.89,0.00,"G-protein coupled receptor",DTO_02300001,508,1221
1235,CCR6,0.49,0.81,0.01,"G-protein coupled receptor",DTO_02300001,231,225
1236,CCR7,0.44,0.77,0.06,"G-protein coupled receptor",DTO_02300001,320,459
1244,ABCC2,0.48,0.81,0.00,Transporter,DTO_05007405,254,303
1268,CNR1,0.45,0.81,0.51,"G-protein coupled receptor",DTO_02300001,393,502
1269,CNR2,0.51,0.85,0.00,"G-protein coupled receptor",DTO_02300001,197,222
1270,CNTF,0.56,0.62,0.00,NULL,NULL,114,120
1277,COL1A1,0.43,0.81,1.00,NULL,NULL,487,700
1278,COL1A2,0.49,0.85,1.00,NULL,NULL,271,422
1280,COL2A1,0.44,0.85,1.00,NULL,NULL,496,439
1281,COL3A1,0.48,0.81,1.00,NULL,NULL,301,225
1282,COL4A1,0.48,0.73,1.00,NULL,NULL,277,162
1284,COL4A2,0.56,0.65,0.00,NULL,NULL,131,111
1285,COL4A3,0.55,0.69,0.00,NULL,NULL,119,189
1286,COL4A4,0.64,0.50,0.00,NULL,NULL,53,109
1287,COL4A5,0.55,0.65,1.00,NULL,NULL,124,281
1294,COL7A1,0.55,0.81,0.00,Receptor,DTO_05007575,160,265
1301,COL11A1,0.50,0.85,1.00,NULL,NULL,268,118
1302,COL11A2,0.44,0.85,0.70,NULL,NULL,399,716
1308,COL17A1,0.55,0.77,0.00,NULL,NULL,138,206
1311,COMP,0.50,0.81,0.00,NULL,NULL,230,249
1312,COMT,0.40,0.92,0.00,Enzyme,DTO_05007624,622,1381
1316,KLF6,0.50,0.85,0.98,"Nucleic acid binding",DTO_05007557,204,231
1326,MAP3K8,0.52,0.85,0.97,Kinase,DTO_03300101,168,156
1351,COX8A,0.40,0.85,0.12,Enzyme,DTO_05007624,526,1356
1356,CP,0.47,0.85,0.00,Enzyme,DTO_05007624,283,328
1361,CPB2,0.54,0.85,0.00,Enzyme,DTO_05007624,148,128
1364,CLDN4,0.51,0.69,0.00,"Cell-cell junction",DTO_05007527,164,154
1365,CLDN3,0.56,0.62,0.52,"Cell-cell junction",DTO_05007527,108,103
1366,CLDN7,0.49,0.81,0.00,"Cell-cell junction",DTO_05007527,192,254
1371,CPOX,0.49,0.85,0.17,Enzyme,DTO_05007624,246,322
1373,CPS1,0.59,0.62,0.00,Enzyme,DTO_05007624,133,132
1374,CPT1A,0.56,0.81,0.00,Enzyme,DTO_05007624,143,133
1376,CPT2,0.54,0.77,0.00,Enzyme,DTO_05007624,187,180
1378,CR1,0.53,0.81,0.00,NULL,NULL,129,150
1380,CR2,0.56,0.65,0.00,NULL,NULL,123,116
1385,CREB1,0.46,0.89,1.00,NULL,NULL,294,471
1386,ATF2,0.55,0.81,0.99,"Transcription factor",DTO_05007542,122,114
1387,CREBBP,0.43,0.81,1.00,NULL,NULL,438,434
1392,CRH,0.44,0.81,0.72,Signaling,DTO_05007599,402,535
1394,CRHR1,0.52,0.77,0.00,NULL,NULL,183,229
1398,CRK,0.39,0.92,0.96,NULL,NULL,544,1074
1400,CRMP1,0.53,0.81,0.99,Enzyme,DTO_05007624,148,182
1401,CRP,0.30,0.96,0.00,NULL,NULL,1483,4823
1406,CRX,0.57,0.69,0.51,"Transcription factor",DTO_05007542,128,104
