diseaseId,diseaseName,diseaseType,diseaseClass,diseaseSemanticType,NofGenes,NofPmids
C0001193,"Apert syndrome",disease,C16;C05,"Congenital Abnormality",20,100
C0001197,Acrodermatitis,disease,C16;C17,"Disease or Syndrome",5,12
C0001202,Acrokeratosis,disease,C17,"Disease or Syndrome",3,1
C0001206,Acromegaly,disease,C05;C10;C19,"Disease or Syndrome",138,400
C0001231,"ACTH Syndrome, Ectopic",disease,C04,"Disease or Syndrome",11,28
C0001249,"Actinobacillus Infections",disease,C01,"Disease or Syndrome",1,1
C0001261,Actinomycosis,group,C01,"Disease or Syndrome",1,1
C0001306,"Acute alcoholic liver disease",disease,C06;C25;F03,"Disease or Syndrome",35,14
C0001308,"Acute and subacute liver necrosis (disorder)",disease,C06,"Disease or Syndrome",6,5
C0001311,"Acute bronchiolitis",disease,C01;C08,"Disease or Syndrome",11,9
C0001338,"Herpetic Acute Necrotizing Encephalitis",disease,C01;C10,"Disease or Syndrome",5,0
C0001339,"Acute pancreatitis",disease,C06,"Disease or Syndrome",435,500
C0001342,"Acute periodontitis",disease,C07,"Disease or Syndrome",130,144
C0001344,"Acute pharyngitis",disease,C01;C08;C07;C09,"Disease or Syndrome",9,3
C0001349,"Acute-Phase Reaction",phenotype,C23,"Pathologic Function",24,15
C0001361,"Acute tonsillitis",disease,C01;C08;C07;C09,"Disease or Syndrome",2,2
C0001363,"Acute vascular insufficiency of intestine (disorder)",disease,C06,"Disease or Syndrome",8,6
C0001364,"Massive Hepatic Necrosis",phenotype,C06,"Pathologic Function",2,2
C0001403,"Addison Disease",disease,C20;C19,"Disease or Syndrome",111,139
C0001416,Adenitis,phenotype,C15,"Sign or Symptom",9,8
C0001418,Adenocarcinoma,group,C04,"Neoplastic Process",2235,5721
C0001420,"Papillary adenocarcinoma",disease,C04,"Neoplastic Process",11,11
C0001422,Adenofibroma,disease,C04,"Neoplastic Process",8,5
C0001429,Adenolymphoma,disease,C04,"Neoplastic Process",21,16
C0001430,Adenoma,group,C04,"Neoplastic Process",1183,2310
C0001432,"Adenoma, Chromophobe",disease,C04,"Neoplastic Process",1,1
C0001433,"Adenoma, Acidophil",disease,C04,"Neoplastic Process",2,2
C0001442,Adenosarcoma,disease,C04,"Neoplastic Process",9,7
C0001486,"Adenovirus Infections",group,C01,"Disease or Syndrome",145,113
C0001510,"Postoperative adhesion",phenotype,C23,"Acquired Abnormality",9,7
C0001511,"Tissue Adhesions",phenotype,C23,"Pathologic Function",3,3
C0001529,"Adiposis Dolorosa",disease,C18;C17,"Disease or Syndrome",1,1
C0001539,"Adjustment disorder with depressed mood",disease,F03,"Mental or Behavioral Dysfunction",1,1
C0001546,"Adjustment Disorders",group,F03,"Mental or Behavioral Dysfunction",9,8
C0001576,"Adnexal Diseases",group,C13,"Disease or Syndrome",3,1
C0001614,"Adrenal Cortex Diseases",group,C19,"Disease or Syndrome",13,7
C0001618,"Tumors of Adrenal Cortex",group,C04;C19,"Neoplastic Process",74,57
C0001621,"Adrenal Gland Diseases",group,C19,"Disease or Syndrome",9,7
C0001622,"Adrenal Gland Hyperfunction",phenotype,C19,"Disease or Syndrome",50,120
C0001623,"Adrenal gland hypofunction",phenotype,C19,"Disease or Syndrome",90,136
C0001624,"Adrenal Gland Neoplasms",group,C04;C19,"Neoplastic Process",94,105
C0001627,"Congenital adrenal hyperplasia",disease,C16;C18;C13;C12;C19,"Disease or Syndrome",87,394
C0001630,"Adrenal Rest Tumor",disease,C04,"Neoplastic Process",2,1
C0001676,"Adult Antisocial Behavior",phenotype,NULL,"Mental or Behavioral Dysfunction",1,3
C0001723,"Affective Disorders, Psychotic",group,F03,"Mental or Behavioral Dysfunction",17,24
C0001726,"Affective Symptoms",phenotype,F01,"Sign or Symptom",23,21
C0001733,Afibrinogenemia,disease,C16;C15,"Disease or Syndrome",9,22
C0001752,"African swine fever",disease,C01;C22,"Disease or Syndrome",1,1
C0001768,Agammaglobulinemia,disease,C20;C15,"Disease or Syndrome",43,54
C0001787,"Osteoporosis, Age-Related",disease,C18;C05,"Disease or Syndrome",89,56
C0001807,"Aggressive behavior",phenotype,F01,"Individual Behavior",176,3
C0001811,Aging,phenotype,NULL,"Organism Function",1,1
C0001815,"Primary Myelofibrosis",disease,C15,"Neoplastic Process",282,722
C0001816,Agnosia,disease,C23;C10;F01,"Mental or Behavioral Dysfunction",17,0
C0001818,Agoraphobia,disease,F03,"Mental or Behavioral Dysfunction",29,24
C0001824,Agranulocytosis,disease,C15,"Disease or Syndrome",55,49
C0001825,Agraphia,disease,C23;C10,"Mental or Behavioral Dysfunction",3,3
C0001828,"Agricultural Workers' Diseases",group,C24,"Disease or Syndrome",1,2
C0001849,"AIDS Dementia Complex",disease,C01;C20;C10;F03,"Disease or Syndrome",45,50
C0001857,"AIDS related complex",disease,C01;C20,"Disease or Syndrome",100,86
C0001883,"Airway Obstruction",group,C08,"Disease or Syndrome",110,117
C0001889,"Akinetic Mutism",disease,C10,"Disease or Syndrome",1,0
C0001890,"Akinetic Petit Mal",disease,C10,"Disease or Syndrome",7,5
C0001916,Albinism,disease,C16;C18;C11;C17,"Disease or Syndrome",46,79
C0001925,Albuminuria,phenotype,C23;C13;C12,Finding,76,44
C0001948,"Alcohol consumption",phenotype,F01,"Individual Behavior",210,13
C0001956,"Alcohol Use Disorder",disease,C25;F03,"Mental or Behavioral Dysfunction",218,294
C0001957,"Alcohol Withdrawal Delirium",disease,C10;C25;F03,"Disease or Syndrome",23,25
C0001969,"Alcoholic Intoxication",disease,C25;F03,"Mental or Behavioral Dysfunction",52,70
C0001973,"Alcoholic Intoxication, Chronic",disease,C25;F03,"Mental or Behavioral Dysfunction",577,1282
C0002016,"Aleutian Mink Disease",disease,C01;C11;C20;C22,"Disease or Syndrome",2,1
C0002018,Alexia,disease,C23;C10;F03,"Mental or Behavioral Dysfunction",9,0
C0002020,Alexithymia,phenotype,F01,"Mental or Behavioral Dysfunction",39,83
C0002063,Alkalosis,phenotype,C18,"Disease or Syndrome",25,21
C0002064,"Alkalosis, Respiratory",phenotype,C18;C08,"Pathologic Function",6,0
C0002066,Alkaptonuria,disease,C16;C18,"Disease or Syndrome",13,61
C0002103,"Atopic rhinitis",disease,C08;C20;C09,"Disease or Syndrome",13,12
C0002136,"Allogenic disease",disease,NULL,"Disease or Syndrome",2,1
C0002152,"Alloxan Diabetes",disease,C18;C19,"Experimental Model of Disease",112,66
C0002170,Alopecia,disease,C23;C17,"Disease or Syndrome",491,338
C0002171,"Alopecia Areata",disease,C17,"Disease or Syndrome",114,110
C0002312,alpha-Thalassemia,disease,C16;C15,"Disease or Syndrome",86,301
C0002351,"Altitude Sickness",phenotype,C08,"Disease or Syndrome",10,7
C0002382,"Alveolar Bone Loss",disease,C05;C07,"Disease or Syndrome",101,82
C0002390,"Extrinsic allergic alveolitis",group,C08;C20,"Disease or Syndrome",65,43
C0002395,"Alzheimer's Disease",disease,C10;F03,"Disease or Syndrome",3397,15526
C0002418,Amblyopia,phenotype,C23;C11;C10,"Disease or Syndrome",85,13
C0002438,Amebiasis,disease,C01,"Disease or Syndrome",37,19
C0002447,Amelia,disease,C16;C05,"Congenital Abnormality",2,2
C0002448,Ameloblastoma,disease,C04,"Neoplastic Process",174,140
C0002452,"Amelogenesis Imperfecta",disease,C16;C07,"Congenital Abnormality",61,147
C0002453,Amenorrhea,phenotype,C23,Finding,37,8
C0002514,"Amino Acid Metabolism, Inborn Errors",group,C16;C18,"Disease or Syndrome",20,25
C0002534,"Renal Aminoacidurias",group,C16;C13;C12,"Disease or Syndrome",1,0
C0002622,Amnesia,disease,C23;C10;F03;F01,"Mental or Behavioral Dysfunction",173,199
C0002623,"Post-traumatic amnesia",disease,C23;C10;F03;F01,"Mental or Behavioral Dysfunction",9,8
C0002624,"Retrograde amnesia",disease,C23;C10;F03;F01,"Mental or Behavioral Dysfunction",5,6
C0002625,"Amnestic Disorder",disease,F03,"Mental or Behavioral Dysfunction",6,6
C0002631,"Infection of amniotic cavity",disease,C16;C13,"Disease or Syndrome",2,2
C0002690,"Amputation Stumps",disease,NULL,"Acquired Abnormality",11,9
C0002726,Amyloidosis,disease,C18,"Disease or Syndrome",694,1999
C0002735,"Oppenheim's Disease",disease,C10,"Disease or Syndrome; Congenital Abnormality",2,3
C0002736,"Amyotrophic Lateral Sclerosis",disease,C18;C10,"Disease or Syndrome",1114,4182
C0002768,"Congenital Pain Insensitivity",disease,C16;C10,"Disease or Syndrome",14,38
C0002792,anaphylaxis,phenotype,C20,"Disease or Syndrome",180,171
C0002793,Anaplasia,disease,C23;C04,"Neoplastic Process",538,594
C0002797,"Bovine Anaplasmosis",disease,C01;C22,"Disease or Syndrome",1,1
C0002831,Ancylostomiasis,disease,C01,"Disease or Syndrome",1,1
C0002871,Anemia,disease,C15,"Disease or Syndrome",847,1361
C0002873,"Anemia of chronic disease",phenotype,C15,"Disease or Syndrome",100,106
C0002874,"Aplastic Anemia",disease,C15,"Disease or Syndrome",238,263
C0002875,"Cooley's anemia",disease,C16;C15,"Disease or Syndrome",144,178
C0002876,"Congenital dyserythropoietic anemia",disease,C16;C15,"Disease or Syndrome",24,35
C0002878,"Anemia, Hemolytic",disease,C15,"Disease or Syndrome",154,212
C0002879,"Anemia, Hemolytic, Acquired",disease,C15,"Disease or Syndrome",16,22
C0002880,"Autoimmune hemolytic anemia",disease,C20;C15,"Disease or Syndrome",81,48
C0002881,"Anemia, Hemolytic, Congenital",disease,C16;C15,"Disease or Syndrome",27,36
C0002882,"Anemia, Hemolytic, Congenital Nonspherocytic",disease,C16;C15,"Disease or Syndrome",5,24
C0002883,"Anemia, Hemolytic, Idiopathic Acquired",disease,C20;C15,"Disease or Syndrome",1,1
C0002884,"Hypochromic anemia",disease,C15,"Disease or Syndrome",16,6
C0002886,"Anemia, Macrocytic",disease,C15,"Disease or Syndrome",51,26
C0002888,"Anemia, Megaloblastic",disease,C15,"Disease or Syndrome",26,40
C0002889,"Anemia, Microangiopathic",disease,C15,"Disease or Syndrome",13,19
C0002890,"Leukoerythroblastic Anemia",disease,C15,"Disease or Syndrome",1,1
C0002891,"Anemia, Neonatal",disease,C16;C15,"Disease or Syndrome",6,6
C0002892,"Anemia, Pernicious",disease,C18;C15,"Disease or Syndrome",16,27
C0002893,"Refractory anemias",disease,C15,"Disease or Syndrome",340,366
C0002894,"Refractory anaemia with excess blasts",disease,C15,"Neoplastic Process",49,55
C0002895,"Anemia, Sickle Cell",disease,C16;C15,"Disease or Syndrome",434,756
C0002896,"Sideroblastic anemia",disease,C15,"Disease or Syndrome",22,41
C0002897,"Anemia, Splenic",disease,C15,"Disease or Syndrome",1,1
C0002902,Anencephaly,disease,C16;C10,"Congenital Abnormality",59,36
C0002938,Aneuploidy,phenotype,C23,"Cell or Molecular Dysfunction",5,4
C0002940,Aneurysm,disease,C14,"Pathologic Function",22,9
C0002949,"Aneurysm, Dissecting",disease,C14,"Disease or Syndrome",33,35
C0002957,Anger,phenotype,F01,"Mental Process",4,1
C0002959,Angiectasis,disease,C23;C14,"Disease or Syndrome",1,1
C0002962,"Angina Pectoris",phenotype,C23;C14,"Sign or Symptom",139,102
C0002963,"Angina Pectoris, Variant",disease,C23;C14,"Disease or Syndrome",26,24
C0002965,"Angina, Unstable",disease,C23;C14,"Disease or Syndrome",129,127
C0002982,"Angioid Streaks",disease,C11,"Disease or Syndrome",13,6
C0002985,Angiokeratoma,disease,C04,"Neoplastic Process",4,3
C0002986,"Fabry Disease",disease,C16;C18;C10;C14,"Disease or Syndrome",108,594
C0002989,"Epithelioid hemangioma of skin",disease,C17;C15,"Neoplastic Process",5,6
C0002991,"Cutaneous Fibrous Histiocytoma",disease,C04,"Neoplastic Process",42,30
C0002992,Angiomatosis,disease,C14,"Disease or Syndrome",4,4
C0002994,Angioedema,phenotype,C17;C20;C14,"Pathologic Function",18,8
C0003028,Anhidrosis,disease,C17,"Disease or Syndrome",37,20
C0003076,Aniridia,disease,C16;C11,"Congenital Abnormality",83,217
C0003078,Aniseikonia,phenotype,C11,"Sign or Symptom",2,2
C0003079,Anisocoria,phenotype,C23;C11;C10,Finding,7,0
C0003081,Anisometropia,disease,C11,"Disease or Syndrome",7,4
C0003089,"Ankylosing spondylitis and other inflammatory spondylopathies",disease,C01;C05,"Disease or Syndrome",3,5
C0003090,Ankylosis,phenotype,C05,"Pathologic Function",15,3
C0003113,Anomia,disease,C23;C10,"Mental or Behavioral Dysfunction",8,2
C0003119,Anophthalmos,disease,C16;C11,"Congenital Abnormality",89,99
C0003123,Anorexia,disease,C23,"Disease or Syndrome",242,198
C0003125,"Anorexia Nervosa",disease,F03,"Mental or Behavioral Dysfunction",202,255
C0003126,Anosmia,phenotype,C23;C10,Finding,40,3
C0003128,Anovulation,phenotype,C13;C19,"Disease or Syndrome",32,29
C0003129,Anoxemia,phenotype,C23,"Sign or Symptom",33,13
C0003130,Anoxia,phenotype,C23,"Pathologic Function",287,319
C0003132,"Anoxic Encephalopathy",phenotype,C10,"Pathologic Function",2,1
C0003164,Anthracosilicosis,disease,C08;C24,"Disease or Syndrome",5,2
C0003165,Anthracosis,disease,C08,"Disease or Syndrome",65,43
C0003175,"Anthrax disease",disease,C01,"Disease or Syndrome",66,70
C0003177,"Cutaneous anthrax",disease,C01;C17,"Disease or Syndrome",3,2
C0003257,"Antibody Deficiency Syndrome",disease,C20,"Disease or Syndrome",21,25
C0003431,"Antisocial Personality Disorder",disease,F03,"Mental or Behavioral Dysfunction",63,111
C0003460,Anuria,phenotype,C13;C12,"Disease or Syndrome",18,10
C0003463,"Anus Neoplasms",group,C06;C04,"Neoplastic Process",8,9
C0003466,"Anus, Imperforate",disease,C16;C06,"Congenital Abnormality",139,20
C0003467,Anxiety,disease,F01,"Mental or Behavioral Dysfunction",1048,1524
C0003469,"Anxiety Disorders",group,F03,"Mental or Behavioral Dysfunction",840,1764
C0003477,"Separation Anxiety Disorder",disease,F03,"Mental or Behavioral Dysfunction",13,15
C0003486,"Aortic Aneurysm",disease,C14,"Disease or Syndrome",278,259
C0003492,"Aortic coarctation",disease,C16;C14,"Congenital Abnormality",88,27
C0003493,"Aortic Diseases",group,C14,"Disease or Syndrome",43,55
C0003496,"Aortic Rupture",disease,C14;C26,"Disease or Syndrome",22,21
C0003499,"Supravalvular aortic stenosis",disease,C14,"Disease or Syndrome",23,60
C0003504,"Aortic Valve Insufficiency",disease,C14,"Disease or Syndrome",377,507
C0003507,"Aortic Valve Stenosis",disease,C14,"Disease or Syndrome",234,217
C0003509,Aortitis,disease,C14,"Disease or Syndrome",15,14
C0003510,"Aortitis Syndrome",disease,C17;C14,"Disease or Syndrome",2,2
C0003516,"Aortopulmonary Septal Defect",disease,C16;C14,"Congenital Abnormality",1,1
C0003534,Aphakia,disease,C11,"Anatomical Abnormality",5,9
C0003537,Aphasia,disease,C23;C10,"Mental or Behavioral Dysfunction",86,36
C0003546,"Aphasia, Acquired",disease,C23;C10,"Mental or Behavioral Dysfunction",2,2
C0003550,"Broca Aphasia",disease,C23;C10,"Mental or Behavioral Dysfunction",11,2
C0003564,Aphonia,phenotype,C23;C08;C10;C09,"Sign or Symptom",4,1
C0003578,Apnea,phenotype,C23;C08,"Sign or Symptom",262,140
C0003614,"Appendiceal Neoplasms",group,C06;C04,"Neoplastic Process",5,4
C0003615,Appendicitis,disease,C06;C01,"Disease or Syndrome",83,91
C0003621,"Appetite Disorders",group,F03,"Mental or Behavioral Dysfunction",2,2
C0003635,Apraxias,group,C23;C10;F01,"Mental or Behavioral Dysfunction",71,23
C0003650,Apudoma,disease,C04,"Neoplastic Process",1,2
C0003706,Arachnodactyly,disease,C16;C05,"Congenital Abnormality",102,13
C0003708,Arachnoiditis,disease,C10,"Disease or Syndrome",1,1
C0003723,"Arbovirus Infections",group,C01,"Disease or Syndrome",8,5
C0003742,"Arcus Senilis",disease,C11,"Disease or Syndrome",13,1
C0003756,"Arenaviridae Infections",group,C01,"Disease or Syndrome",1,1
C0003803,"Arnold Chiari Malformation",disease,C16;C10,"Congenital Abnormality",53,10
C0003810,"Sertoli-Leydig cell tumor of ovary",disease,C04;C13;C12;C19,"Neoplastic Process",5,11
C0003811,"Cardiac Arrhythmia",phenotype,C23;C14,"Disease or Syndrome",559,823
C0003834,"Arterial insufficiency",disease,C14,"Disease or Syndrome",2,2
C0003838,"Arterial Occlusive Diseases",group,C14,"Disease or Syndrome",35,32
C0003850,Arteriosclerosis,disease,C14,"Disease or Syndrome",2006,6259
C0003851,"Arteriosclerosis Obliterans",disease,C14,"Disease or Syndrome",49,26
C0003855,"Arteriovenous fistula",phenotype,C23;C16;C14,"Anatomical Abnormality",93,86
C0003857,"Congenital arteriovenous malformation",disease,C16;C14,"Congenital Abnormality",163,189
C0003860,Arteritis,phenotype,C14,"Pathologic Function",5,3
C0003862,Arthralgia,phenotype,C23;C05,"Sign or Symptom",248,129
C0003864,Arthritis,disease,C05,"Disease or Syndrome",1072,1805
C0003865,"Arthritis, Adjuvant-Induced",disease,C05,"Experimental Model of Disease",43,36
C0003868,"Arthritis, Gouty",disease,C16;C18;C05,"Disease or Syndrome",206,78
C0003869,"Arthritis, Infectious",group,C01;C05,"Disease or Syndrome",33,36
C0003872,"Arthritis, Psoriatic",disease,C17;C05,"Disease or Syndrome",450,557
C0003873,"Rheumatoid Arthritis",disease,C17;C05;C20,"Disease or Syndrome",2723,7027
C0003875,"Arthritis, Viral",disease,C01;C05,"Disease or Syndrome",3,2
C0003886,Arthrogryposis,disease,C16;C05,"Disease or Syndrome",198,132
C0003892,"Neurogenic arthropathy",disease,C05,"Disease or Syndrome",7,3
C0003907,"Arthus Reaction",disease,C20,"Disease or Syndrome",12,8
C0003910,"Articulation Disorders",disease,C23;C10,"Mental or Behavioral Dysfunction",1,1
C0003944,"As If Personality",disease,F03,"Mental or Behavioral Dysfunction",1,1
C0003949,Asbestosis,disease,C08;C24,"Disease or Syndrome",47,33
C0003950,Ascariasis,disease,C01,"Disease or Syndrome",3,3
C0003962,Ascites,phenotype,C23,"Disease or Syndrome",198,110
C0003969,"Ascorbic Acid Deficiency",disease,C18,"Disease or Syndrome",10,9
C0004030,Aspergillosis,disease,C01,"Disease or Syndrome",47,41
C0004031,"Aspergillosis, Allergic Bronchopulmonary",disease,C01;C08;C20,"Disease or Syndrome",31,30
C0004044,Asphyxia,phenotype,C23;C26,"Pathologic Function",3,3
C0004045,"Asphyxia Neonatorum",disease,C16,"Disease or Syndrome",45,28
C0004048,"Inspiration function",phenotype,NULL,"Organism Function",1,0
C0004059,"aspirin intolerance",phenotype,NULL,"Sign or Symptom",23,20
C0004093,Asthenia,phenotype,C23,"Sign or Symptom",16,14
C0004096,Asthma,disease,C08;C20,"Disease or Syndrome",2096,5162
C0004099,"Asthma, Exercise-Induced",disease,C08;C20,"Disease or Syndrome",8,4
C0004106,Astigmatism,disease,C11,"Disease or Syndrome",148,24
C0004114,Astrocytoma,disease,C04,"Neoplastic Process",985,1356
C0004134,Ataxia,phenotype,C23;C10,"Sign or Symptom",868,721
C0004135,"Ataxia Telangiectasia",disease,C16;C18;C20;C10;C14,"Disease or Syndrome",384,968
C0004138,"Ataxias, Hereditary",disease,C16;C10,"Disease or Syndrome",35,32
C0004144,Atelectasis,phenotype,C08,"Pathologic Function",62,0
C0004153,Atherosclerosis,disease,C14,"Disease or Syndrome",2044,6555
C0004158,Athetosis,phenotype,C23;C10,"Disease or Syndrome",39,3
C0004238,"Atrial Fibrillation",disease,C23;C14,"Disease or Syndrome",939,1213
C0004239,"Atrial Flutter",phenotype,C23;C14,"Pathologic Function",13,0
C0004245,"Atrioventricular Block",disease,C23;C14,"Disease or Syndrome",63,63
C0004269,"Child attention deficit disorder",disease,F03,"Disease or Syndrome",26,12
C0004277,"Tooth Attrition",disease,C07,"Acquired Abnormality",66,69
C0004310,"Auditory Perceptual Disorders",group,C23;C10;F03;C09;F01,"Mental or Behavioral Dysfunction",5,6
C0004331,"Auriculo-Ventricular Dissociation",phenotype,C23;C14,"Pathologic Function",4,3
C0004352,"Autistic Disorder",disease,F03,"Mental or Behavioral Dysfunction",1112,1586
C0004364,"Autoimmune Diseases",group,C20,"Disease or Syndrome",1758,5622
C0004368,"Autoimmune state",phenotype,NULL,"Pathologic Function",70,2
C0004403,"Autosome Abnormalities",group,C23,"Cell or Molecular Dysfunction",16,11
C0004426,"Sarcoma, Avian",disease,C04;C01;C22,"Neoplastic Process; Experimental Model of Disease",1,1
C0004444,"Avoidant Personality Disorder",phenotype,F03,"Mental or Behavioral Dysfunction",4,2
C0004509,Azoospermia,disease,C12,"Disease or Syndrome",254,233
C0004565,"Melanoma, B16",disease,C04,"Neoplastic Process; Experimental Model of Disease",157,151
C0004576,Babesiosis,disease,C01;C22,"Disease or Syndrome",11,8
C0004604,"Back Pain",phenotype,C23,"Sign or Symptom",110,76
C0004606,"Nonproliferative diabetic retinopathy",disease,C11;C19;C14,"Disease or Syndrome",41,35
C0004608,"Retinopathy background",disease,C11,"Disease or Syndrome",4,0
C0004610,Bacteremia,disease,C23;C01,"Disease or Syndrome",233,285
C0004623,"Bacterial Infections",group,C01,"Disease or Syndrome",616,845
C0004626,"Pneumonia, Bacterial",group,C01;C08,"Disease or Syndrome",66,55
C0004659,Bacteriuria,phenotype,C13;C01;C12,"Disease or Syndrome",18,14
C0004669,"Bacteroides Infections",group,C01,"Disease or Syndrome",1,1
C0004681,Bagassosis,disease,C08;C24,"Disease or Syndrome",14,2
C0004698,"Balkan Nephropathy",disease,C13;C12,"Disease or Syndrome",34,35
C0004712,"Balo's Concentric Sclerosis",disease,C20;C10,"Disease or Syndrome",5,6
C0004763,"Barrett Esophagus",disease,C06;C04,"Disease or Syndrome",478,505
C0004771,"Bartonella Infections",group,C01,"Disease or Syndrome",4,3
C0004775,"Bartter Disease",disease,C13;C12;C19,"Disease or Syndrome",47,127
C0004779,"Basal Cell Nevus Syndrome",disease,C16;C04;C05;C07,"Neoplastic Process",74,225
C0004782,"Basal Ganglia Diseases",group,C10,"Disease or Syndrome",19,18
C0004903,"Beckwith-Wiedemann Syndrome",disease,C16,"Disease or Syndrome",107,269
C0004930,"Behavior Disorders",group,F03,"Mental or Behavioral Dysfunction",77,91
C0004936,"Mental disorders",group,F03,"Mental or Behavioral Dysfunction",789,1359
C0004941,"Behavioral Symptoms",group,F01,"Sign or Symptom",45,37
C0004943,"Behcet Syndrome",disease,C16;C11;C17;C07;C14,"Disease or Syndrome",502,694
C0004945,Bejel,disease,C01,"Disease or Syndrome",2,2
C0004991,"Benign neoplasm of colon",disease,C06;C04,"Neoplastic Process",1,1
C0004997,"Benign Ovarian Neoplasm",disease,C04;C13;C19,"Neoplastic Process",72,64
C0004998,"Benign neoplasm of skin",group,C04;C17,"Neoplastic Process",6,8
C0005001,"Benign prostatic hypertrophy",phenotype,C12,"Pathologic Function",4,4
C0005122,Beriberi,disease,C18,"Disease or Syndrome",16,17
C0005129,"Bernard-Soulier Syndrome",disease,C16;C15,"Disease or Syndrome",46,128
C0005136,"Berry Aneurysm",disease,C10;C14,"Pathologic Function",1,1
C0005138,Berylliosis,disease,C08;C24,"Injury or Poisoning",11,19
C0005146,Besnoitiasis,disease,C01,"Disease or Syndrome",1,1
C0005283,"beta Thalassemia",disease,C16;C15,"Disease or Syndrome",198,828
C0005395,"Bile Duct Diseases",group,C06,"Disease or Syndrome",9,6
C0005396,"Bile Duct Neoplasms",group,C06;C04,"Neoplastic Process",11,9
C0005398,"Cholestasis, Extrahepatic",disease,C06,"Disease or Syndrome",87,23
C0005403,"Bile Reflux",disease,C06,"Disease or Syndrome",5,6
C0005411,"Biliary Atresia",disease,C16;C06,"Congenital Abnormality",184,142
C0005424,"Biliary Tract Diseases",group,C06,"Disease or Syndrome",1,1
C0005426,"Biliary Tract Neoplasm",disease,C06;C04,"Neoplastic Process",17,8
C0005586,"Bipolar Disorder",disease,F03,"Mental or Behavioral Dysfunction",1183,1819
C0005587,"Depression, Bipolar",disease,F03,"Mental or Behavioral Dysfunction",116,76
C0005612,"Birth Weight",phenotype,C23,"Organism Attribute",214,13
C0005683,"Urinary Bladder Calculi (disorder)",disease,C23;C13;C12,"Disease or Syndrome",10,7
C0005684,"Malignant neoplasm of urinary bladder",disease,C04;C13;C12,"Neoplastic Process",2113,3693
C0005686,"Urinary Bladder Diseases",group,C13;C12,"Disease or Syndrome",24,22
C0005689,"Bladder Exstrophy",disease,C16;C13;C12,"Disease or Syndrome",18,15
C0005694,"Bladder neck obstruction",disease,C13;C12,"Disease or Syndrome",67,38
C0005695,"Bladder Neoplasm",disease,C04;C13;C12,"Neoplastic Process",2130,3794
C0005697,"Neurogenic Urinary Bladder",disease,C23;C13;C12;C10,"Disease or Syndrome",43,22
C0005699,"Blast Phase",disease,C23;C04;C15,"Neoplastic Process",299,475
C0005716,Blastomycosis,disease,C01;C17;C08,"Disease or Syndrome",5,4
C0005723,"Oral paracoccidioidomycosis",disease,C01;C07,"Disease or Syndrome",1,1
C0005741,Blepharitis,disease,C11,"Disease or Syndrome",55,7
C0005742,Blepharochalasis,disease,C23;C11,"Disease or Syndrome",4,1
C0005744,Blepharophimosis,disease,C16;C11,"Congenital Abnormality",106,70
